MIGs_URI	MIGs_Aggregate	NACE_URI	NACE_Rev2_1_Position
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/251"	"25.1 Manufacture of structural metal products"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/252"	"25.2 Manufacture of tanks, reservoirs and containers of metal"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/253"	"25.3 Manufacture of weapons and ammunition"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/262"	"26.2 Manufacture of computers and peripheral equipment"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/263"	"26.3 Manufacture of communication equipment"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/265"	"26.5 Manufacture of measuring testing instruments, clocks and watches"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/266"	"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/28"	"28 Manufacture of machinery and equipment n.e.c."
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/29"	"29 Manufacture of motor vehicles, trailers and semi-trailers"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/301"	"30.1 Building of ships and boats"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/302"	"30.2 Manufacture of railway locomotives and rolling stock"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/303"	"30.3 Manufacture of air and spacecraft and related machinery"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/304"	"30.4 Manufacture of military fighting vehicles"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/325"	"32.5 Manufacture of medical and dental instruments and supplies"
"http://data.europa.eu/ux2/nace2.1/MIG_CAG"	"Capital goods"	"http://data.europa.eu/ux2/nace2.1/33"	"33 Repair, maintenance and installation of machinery and equipment"
"http://data.europa.eu/ux2/nace2.1/MIG_DCOG"	"Consumer durables"	"http://data.europa.eu/ux2/nace2.1/264"	"26.4 Manufacture of consumer electronics"
