ORDER_KEY	ID	CODE	NAME	PARENT_ID	PARENT_CODE	LEVEL	Implementation_rule	Includes	IncludesAlso	Excludes
"10"	"A"	"A"	"AGRICULTURE, FORESTRY AND FISHING"			"1"		"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, and the production of animal products from a farm or natural habitats."	"This section also includes organic agriculture, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals."	"This section excludes undifferentiated subsistence goods-producing activities of households, which are classified in class 98.10."
"20"	"01"	"01"	"Crop and animal production, hunting and related service activities"	"A"	"A"	"2"	"IMPLEMENTATION RULE \nIn agriculture, one frequent situation where the breakdown of the value added presents difficulties is when a unit manufactures a product from its own agricultural output. For example, when a unit produces grapes and manufactures wine from the own-produced grapes, or when it produces olives and manufactures oil from the own-produced olives. In these cases, the most suitable proxy variable is the number of hours worked. Applying this variable to these vertically integrated activities would generally lead to the classification of the units under agriculture. In the same case for other agricultural products, units will be classified in agriculture by convention, in order to guarantee harmonised treatment."	"This division includes two basic activities, namely the production of crop products and the production of animal products. \n\nMixed farming (group 01.5) breaks with the usual principles for identifying the main activity. It accepts that many agricultural units have a reasonably balanced production of crops and animals, and that it would be arbitrary to classify them in one category or the other.\n\nThis division includes the soilless cultivation of crops, such as using hydroponic and aquaponic methods."	"This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities."	"Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10, 11 and 12), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.\n\nThis division excludes field construction (for example, agricultural land terracing, drainage, preparing rice paddies) classified in section F and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded are landscape service activities, which are classified in class 81.30."
"30"	"011"	"01.1"	"Growing of non-perennial crops"	"01"	"01"	"3"		"This group includes the growing of non-perennial crops, in other words, plants that do not last for more than two growing seasons. Further included is the growing of these plants for the purpose of seed production."		
"40"	"0111"	"01.11"	"Growing of cereals, other than rice, leguminous crops and oil seeds"	"011"	"01.1"	"4"		"This class includes all forms of growing of cereals, leguminous crops and oil seeds. Further included is the growing of these plants for the purpose of seed production. The growing of these crops is often combined within agricultural units.\n\nThis class includes:\n- growing of cereals, e.g.:\n • wheat\n • grain maize\n • sorghum\n • barley\n • rye\n • oats\n • millet\n • pseudocereals, in other words, fruits or seeds used as cereals, e.g.:\n • quinoa\n • amaranth\n • chia\n- growing of leguminous crops, e.g.:\n • beans\n • broad beans\n • chickpeas\n • cowpeas\n • lentils\n • lupines\n • peas\n • pigeon peas\n- growing of oil seeds, e.g.:\n • soya beans\n • groundnuts\n • castor beans\n • linseed\n • mustard seed\n • niger seed\n • rapeseed\n • safflower seed\n • sesame seed\n • sunflower seed"		"This class excludes:\n- growing of rice, see 01.12\n- growing of sweetcorn, see 01.13\n- growing of maize, lupines or kale for fodder, see 01.19\n- growing of oleaginous fruits, see 01.26"
"50"	"0112"	"01.12"	"Growing of rice"	"011"	"01.1"	"4"		"This class includes:\n- growing of rice"		
"60"	"0113"	"01.13"	"Growing of vegetables and melons, roots and tubers"	"011"	"01.1"	"4"		"This class includes:\n- growing of leafy or stem vegetables, e.g.:\n • artichokes\n • asparagus\n • cabbages\n • cauliflower and broccoli\n • lettuce and chicory\n • spinach\n- growing of fruit-bearing vegetables, e.g.:\n • cucumbers and gherkins\n • eggplants (aubergines)\n • tomatoes\n • watermelons\n- growing of root, bulb or tuberous vegetables, e.g.:\n • carrots\n • turnips\n • garlic\n • onions (including shallots)\n • leeks and other alliaceous vegetables\n- growing of mushrooms and truffles\n- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds\n- growing of sugar beet\n- growing of chillies, peppers (Capsicum spp.)\n- growing of roots and tubers, e.g.:\n • potatoes\n • sweet potatoes\n • cassava\n • yams\n • swedes and mangolds"	"This class also includes:\n- growing of sweetcorn"	"This class excludes:\n- growing of spices and aromatic, drug and pharmaceutical crops, see 01.28 \n- growing of mushroom spawn, see 01.30"
"70"	"0114"	"01.14"	"Growing of sugar cane"	"011"	"01.1"	"4"				"This class excludes:\n- growing of sugar beet, see 01.13"
"80"	"0115"	"01.15"	"Growing of tobacco"	"011"	"01.1"	"4"		"This class includes:\n- growing of unmanufactured tobacco"	"This class also includes:\n- preliminary processing of tobacco when associated with the growing of tobacco"	"This class excludes:\n- preparation of tobacco leaves (e.g. sun drying) by a third party, see 01.63\n- manufacture of tobacco products, see 12.00"
"90"	"0116"	"01.16"	"Growing of fibre crops"	"011"	"01.1"	"4"		"This class includes growing of fibre crops, e.g.:\n- growing of cotton\n- growing of jute, kenaf and other textile bast fibres\n- growing of flax and hemp\n- growing of sisal and other textile fibre of the genus agave\n- growing of abaca, ramie and other vegetable textile fibres"		
"100"	"0119"	"01.19"	"Growing of other non-perennial crops"	"011"	"01.1"	"4"		"This class includes the growing of all other non-perennial crops, e.g.:\n- growing of clover, alfalfa, sainfoin, maize, lupines, other grasses, fodder kale and similar forage crops \n- growing of beet seeds and seeds of forage plants\n- growing of flowers\n- cutting of flowers and flower buds\n- growing of flower seeds"	"This class also includes:\n- growing of perennial flowers and other ornamental plants"	"This class excludes:\n- growing of sugar beet seeds, see 01.13\n- growing of non-perennial spices and aromatic, drug and pharmaceutical crops, see 01.28"
