LEVEL	CODE	version	NATIONAL_TITLE_BE_NL	NATIONAL_TITLE_BE_FR	NATIONAL_TITLE_BE_DE	NATIONAL_TITLE_BE_EN
1	A      	2025	LANDBOUW, BOSBOUW EN VISSERIJ	AGRICULTURE, SYLVICULTURE ET PÊCHE	LAND- UND FORSTWIRTSCHAFT, FISCHEREI	AGRICULTURE, FORESTRY AND FISHING
1	B      	2025	WINNING VAN DELFSTOFFEN	INDUSTRIES EXTRACTIVES	BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN	MINING AND QUARRYING
1	C      	2025	INDUSTRIE	INDUSTRIE MANUFACTURIÈRE	VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN	MANUFACTURING
1	D      	2025	PRODUCTIE EN DISTRIBUTIE VAN ELEKTRICITEIT, GAS, STOOM EN GEKOELDE LUCHT	PRODUCTION ET DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ, DE VAPEUR ET D’AIR CONDITIONNÉ	ENERGIEVERSORGUNG	ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY
1	E      	2025	DISTRIBUTIE VAN WATER; AFVAL- EN AFVALWATERBEHEER EN SANERING	PRODUCTION ET DISTRIBUTION D’EAU; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION	WASSERVERSORGUNG; ABWASSER- UND ABFALLENTSORGUNG UND BESEITIGUNG VON UMWELTVERSCHMUTZUNGEN	WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES
1	F      	2025	BOUWNIJVERHEID	CONSTRUCTION	BAUGEWERBE/BAU	CONSTRUCTION
1	G      	2025	GROOT- EN DETAILHANDEL	COMMERCE	HANDEL	WHOLESALE AND RETAIL TRADE
1	H      	2025	VERVOER EN OPSLAG	TRANSPORTS ET ENTREPOSAGE	VERKEHR UND LAGEREI	TRANSPORTATION AND STORAGE
1	I      	2025	VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN	HÉBERGEMENT ET RESTAURATION	GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE	ACCOMMODATION AND FOOD SERVICE ACTIVITIES
1	J      	2025	ACTIVITEITEN VAN UITGEVERIJEN, OMROEPACTIVITEITEN EN PRODUCTIE EN DISTRIBUTIE VAN INHOUD	ÉDITION, DIFFUSION ET ACTIVITÉS DE PRODUCTION ET DE DISTRIBUTION DE CONTENU	VERLAGSWESEN, RUNDFUNK SOWIE ERSTELLUNG UND VERBREITUNG VON MEDIENINHALTEN	PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES
1	K      	2025	TELECOMMUNICATIE, COMPUTERPROGRAMMERING, CONSULTANCY, INFORMATICA-INFRASTRUCTUUR EN ANDERE ACTIVITEITEN OP HET GEBIED VAN INFORMATIEDIENSTEN	TÉLÉCOMMUNICATIONS, PROGRAMMATION INFORMATIQUE, CONSEIL, INFRASTRUCTURE INFORMATIQUE ET AUTRES ACTIVITÉS DE SERVICE D'INFORMATION	TELEKOMMUNIKATION, SOFTWAREENTWICKLUNG, IT-BERATUNG UND ERBRINGUNG SONSTIGER DIENSTLEISTUNGEN DER INFORMATIONSTECHNOLOGIE UND DER COMPUTERINFRASTRUKTUR	TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES
1	L      	2025	FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN	ACTIVITÉS FINANCIÈRES ET D’ASSURANCE	ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN	FINANCIAL AND INSURANCE ACTIVITIES
1	M      	2025	EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED	ACTIVITÉS IMMOBILIÈRES	GRUNDSTÜCKS- UND WOHNUNGSWESEN	REAL ESTATE ACTIVITIES
1	N      	2025	WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN EN OVERIGE SPECIALISTISCHE ZAKELIJKE DIENSTVERLENING	ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES	ERBRINGUNG VON WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN	PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES
1	O      	2025	ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN	ACTIVITÉS DE SERVICE ADMINISTRATIF ET DE SOUTIEN	ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN	ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
1	P      	2025	OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN	ADMINISTRATION PUBLIQUE ET DÉFENSE; SÉCURITÉ SOCIALE OBLIGATOIRE	ÖFFENTLICHE VERWALTUNG, VERTEIDIGUNG; SOZIALVERSICHERUNG	PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
1	Q      	2025	ONDERWIJS	ENSEIGNEMENT	ERZIEHUNG UND UNTERRICHT	EDUCATION
1	R      	2025	MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING	SANTÉ HUMAINE ET ACTIVITÉS D’ACTION SOCIALE	GESUNDHEITS- UND SOZIALWESEN	HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
1	S      	2025	KUNST, SPORT EN RECREATIE	ARTS, SPORTS ET ACTIVITÉS RÉCRÉATIVES	KUNST, SPORT UND ERHOLUNG	ARTS, SPORTS AND RECREATION
1	T      	2025	OVERIGE DIENSTEN	AUTRES ACTIVITÉS DE SERVICES	ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN	OTHER SERVICE ACTIVITIES
1	U      	2025	ACTIVITEITEN VAN HUISHOUDENS ALS WERKGEVER EN NIET-GEDIFFERENTIEERDE PRODUCTIE VAN GOEDEREN EN DIENSTEN DOOR HUISHOUDENS VOOR EIGEN GEBRUIK	ACTIVITÉS DES MÉNAGES EN TANT QU’EMPLOYEURS; ACTIVITÉS INDIFFÉRENCIÉES DES MÉNAGES EN TANT QUE PRODUCTEURS DE BIENS ET SERVICES POUR USAGE PROPRE	PRIVATE HAUSHALTE MIT HAUSPERSONAL SOWIE HERSTELLUNG VON WAREN UND ERBRINGUNG VON DIENSTLEISTUNGEN DURCH PRIVATE HAUSHALTE FÜR DEN EIGENBEDARF OHNE AUSGEPRÄGTEN SCHWERPUNKT	ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS – AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
1	V      	2025	ACTIVITEITEN VAN EXTRATERRITORIALE ORGANISATIES EN INSTANTIES	ACTIVITÉS DES ORGANISATIONS ET ORGANISMES EXTRATERRITORIAUX	EXTERRITORIALE ORGANISATIONEN UND KÖRPERSCHAFTEN	ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
2	01     	2025	Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten	Culture et production animale, chasse et services annexes	Landwirtschaft, Jagd und damit verbundene Tätigkeiten	Crop and animal production, hunting and related service activities
3	01.1	2025	Teelt van eenjarige gewassen	Cultures non permanentes	Anbau ein- und zweijähriger Pflanzen	Growing of non-perennial crops
4	01.11	2025	Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden	Culture de céréales, à l’exception du riz, et de légumineuses et de graines oléagineuses	Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten	Growing of cereals, other than rice, leguminous crops and oil seeds
5	01.110	2025	Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden	Culture de céréales, à l’exception du riz, et de légumineuses et de graines oléagineuses	Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten	Growing of cereals, other than rice, leguminous crops and oil seeds
